ElapsedTime,PacketLossRate
0.000,0.9954
0.000,0.9879
0.014,0.9817
0.030,0.9768
0.038,0.9740
0.052,0.9740
0.064,0.9740
0.077,0.9710
0.093,0.9631
0.113,0.9518
0.137,0.9404
0.152,0.9291
0.164,0.9216
0.178,0.9216
0.188,0.9117
0.206,0.9063
0.218,0.9063
0.230,0.9040
0.245,0.8929
0.263,0.8831
0.276,0.8727
0.290,0.8667
0.302,0.8667
0.318,0.8667
0.327,0.8667
0.340,0.8667
0.355,0.8667
0.368,0.8667
0.382,0.8653
0.397,0.8560
0.416,0.8454
0.429,0.8372
0.443,0.8263
0.460,0.8166
0.484,0.8166
0.493,0.8087
0.512,0.7997
0.526,0.7888
0.542,0.7797
0.553,0.7709
0.567,0.7647
0.578,0.7647
0.590,0.7626
0.605,0.7538
0.623,0.7429
0.637,0.7324
0.664,0.7215
0.678,0.7157
0.691,0.7157
0.701,0.7051
0.720,0.6963
0.737,0.6861
0.766,0.6754
0.790,0.6652
0.803,0.6594
0.814,0.6497
0.831,0.6415
0.843,0.6313
0.859,0.6221
0.871,0.6160
0.884,0.6160
0.895,0.6144
0.910,0.6049
0.928,0.5968
0.940,0.5868
0.956,0.5764
0.982,0.5678
0.997,0.5678
1.006,0.5616
1.023,0.5516
1.039,0.5430
1.056,0.5328
1.097,0.5226
1.123,0.5133
1.136,0.5034
1.150,0.4927
1.176,0.4837
1.191,0.4732
1.222,0.4630
1.247,0.4528
1.275,0.4426
1.288,0.4333
1.303,0.4245
1.315,0.4150
1.331,0.4053
1.358,0.3953
1.371,0.3847
1.385,0.3756
1.399,0.3756
1.408,0.3742
1.423,0.3645
1.441,0.3547
1.459,0.3450
1.488,0.3346
1.511,0.3253
1.539,0.3156
1.552,0.3063
1.565,0.2968
1.580,0.2875
1.615,0.2792
1.634,0.2694
1.663,0.2601
1.677,0.2516
1.705,0.2414
1.718,0.2353
1.732,0.2270
1.747,0.2166
1.776,0.2068
1.804,0.1971
1.831,0.1885
1.858,0.1783
1.886,0.1697
1.901,0.1595
1.930,0.1500
1.955,0.1396
1.984,0.1319
2.012,0.1222
2.039,0.1152
2.054,0.1083
2.068,0.1032
2.083,0.0960
2.100,0.0886
2.111,0.0886
2.123,0.0886
2.136,0.0886
2.147,0.0883
2.156,0.0869
2.171,0.0865
2.185,0.0858
2.198,0.0846
2.212,0.0846
2.226,0.0846
2.239,0.0842
2.254,0.0837
2.268,0.0837
2.281,0.0837
